Step,Time[ms],homGroupTrue,homGroupFalse,agreeTrue,hetGroup,voteFalse,agreeFalse,voteTrue
416,"0,0008898926",0,0,2171,7,38,1504,62
417,"0,000892695",0,0,2180,7,38,1516,62
418,"0,0008933252",0,0,2171,7,38,1504,62
419,"0,0008954995",0,0,2180,7,38,1516,62
420,"0,000897295",0,0,2171,7,38,1504,62
421,"0,000899927",0,0,2180,7,38,1516,62
422,"0,0009007956",0,0,2171,7,38,1504,62
423,"0,0009010335",0,0,2180,7,38,1516,62
424,"0,0009091548",0,0,2171,7,38,1504,62
425,"0,000909244",0,0,2180,7,38,1516,62
426,"0,0009123076",0,0,2171,7,38,1504,62
427,"0,0009123509",0,0,2180,7,38,1516,62
428,"0,0009131945",0,0,2171,7,38,1504,62
429,"0,0009148126",0,0,2180,7,38,1516,62
430,"0,0009152804",0,0,2171,7,38,1504,62
431,"0,0009165879",0,0,2180,7,38,1516,62
432,"0,0009178993",0,0,2171,7,38,1504,62
433,"0,0009188696",0,0,2180,7,38,1516,62
434,"0,0009201989",0,0,2171,7,38,1504,62
435,"0,0009215888",0,0,2180,7,38,1516,62
436,"0,0009261105",0,0,2171,7,38,1504,62
437,"0,000932937",0,0,2180,7,38,1516,62
438,"0,0009397839",0,0,2171,7,38,1504,62
439,"0,0009401974",0,0,2180,7,38,1516,62
440,"0,0009434723",0,0,2171,7,38,1504,62
441,"0,0009442473",0,0,2180,7,38,1516,62
442,"0,0009471408",0,0,2171,7,38,1504,62
443,"0,0009512476",0,0,2180,7,38,1516,62
444,"0,0009520042",0,0,2171,7,38,1504,62
445,"0,0009534123",0,0,2180,7,38,1516,62
446,"0,0009564397",0,0,2171,7,38,1504,62
447,"0,0009565722",0,0,2180,7,38,1516,62
448,"0,0009580441",0,0,2171,7,38,1504,62
449,"0,0009648342",0,0,2180,7,38,1516,62
450,"0,0009653512",0,0,2171,7,38,1504,62
451,"0,0009685572",0,0,2180,7,38,1516,62
452,"0,0009832803",0,0,2171,7,38,1504,62
453,"0,0009836999",0,0,2180,7,38,1516,62
454,"0,0009893438",0,0,2171,7,38,1504,62
455,"0,0009912275",0,0,2180,7,38,1516,62
456,"0,0009988435",0,0,2171,7,38,1504,62
457,"0,0010021513",0,0,2180,7,38,1516,62
458,"0,0010040275",0,0,2171,7,38,1504,62
459,"0,0010047272",0,0,2180,7,38,1516,62
460,"0,001004967",0,0,2171,7,38,1504,62
461,"0,0010053314",0,0,2180,7,38,1516,62
462,"0,001008799",0,0,2171,7,38,1504,62
463,"0,0010092228",0,0,2180,7,38,1516,62
464,"0,0010116672",0,0,2171,7,38,1504,62
465,"0,001019373",0,0,2180,7,38,1516,62
466,"0,0010210139",0,0,2171,7,38,1504,62
467,"0,0010226503",0,0,2180,7,38,1516,62
468,"0,0010256189",0,0,2171,7,38,1504,62
469,"0,0010270834",0,0,2180,7,38,1516,62
470,"0,0010282077",0,0,2171,7,38,1504,62
471,"0,0010291484",0,0,2180,7,38,1516,62
472,"0,0010298344",0,0,2171,7,38,1504,62
473,"0,0010313388",0,0,2180,7,38,1516,62
474,"0,0010354727",0,0,2171,7,38,1504,62
475,"0,0010373964",0,0,2180,7,38,1516,62
476,"0,0010389395",0,0,2171,7,38,1504,62
477,"0,0010422138",0,0,2180,7,38,1516,62
478,"0,0010424754",0,0,2171,7,38,1504,62
479,"0,0010456452",0,0,2180,7,38,1516,62
480,"0,0010464616",0,0,2171,7,38,1504,62
481,"0,0010466804",0,0,2180,7,38,1516,62
482,"0,0010484539",0,0,2171,7,38,1504,62
483,"0,0010492907",0,0,2180,7,38,1516,62
484,"0,0010514843",0,0,2171,7,38,1504,62
485,"0,0010550236",0,0,2180,7,38,1516,62
486,"0,0010681178",0,0,2171,7,38,1504,62
487,"0,001068429",0,0,2180,7,38,1516,62
488,"0,0010729958",0,0,2171,7,38,1504,62
489,"0,0010751677",0,0,2187,9,39,1606,61
490,"0,0010764695",0,0,2196,8,39,1618,61
491,"0,001077095",0,0,2189,8,39,1618,61
492,"0,0010791002",0,0,2187,7,39,1618,61
493,"0,001079304",0,0,2189,6,39,1612,61
494,"0,0010803217",0,0,2182,7,39,1598,61
495,"0,0010830164",0,0,2189,7,39,1612,61
496,"0,0010912063",0,0,2182,7,39,1598,61
497,"0,0010928506",0,0,2189,7,39,1612,61
498,"0,0010943973",0,0,2182,7,39,1598,61
499,"0,0010978508",0,0,2189,7,39,1612,61
500,"0,0010992683",0,0,2182,7,39,1598,61
501,"0,0011007336",0,0,2189,7,39,1612,61
502,"0,001101031",0,0,2182,7,39,1598,61
503,"0,001101559",0,0,2189,7,39,1612,61
504,"0,0011031893",0,0,2182,7,39,1598,61
505,"0,0011059913",0,0,2189,7,39,1612,61
506,"0,0011084429",0,0,2182,7,39,1598,61
507,"0,0011090944",0,0,2189,7,39,1612,61
508,"0,0011102635",0,0,2182,7,39,1598,61
509,"0,0011136527",0,0,2189,7,39,1612,61
510,"0,0011163381",0,0,2182,7,39,1598,61
511,"0,0011191682",0,0,2189,7,39,1612,61
512,"0,0011210352",0,0,2182,7,39,1598,61
513,"0,0011216323",0,0,2189,7,39,1612,61
514,"0,0011236757",0,0,2182,7,39,1598,61
515,"0,0011240011",0,0,2189,7,39,1612,61
516,"0,0011242454",0,0,2182,7,39,1598,61
517,"0,0011244633",0,0,2189,7,39,1612,61
518,"0,0011259514",0,0,2182,7,39,1598,61
519,"0,0011269154",0,0,2189,7,39,1612,61
520,"0,0011290778",0,0,2182,7,39,1598,61
521,"0,0011317615",0,0,2189,7,39,1612,61
522,"0,0011353055",0,0,2182,7,39,1598,61
523,"0,001136264",0,0,2189,7,39,1612,61
524,"0,001137034",0,0,2182,7,39,1598,61
525,"0,0011375552",0,0,2189,7,39,1612,61
526,"0,0011398037",0,0,2182,7,39,1598,61
527,"0,0011474892",0,0,2189,7,39,1612,61
528,"0,0011485939",0,0,2182,7,39,1598,61
